Symbol,Name,MktVal Co,DPS 25,DPS 24,DPS 23,DPS 22,DPS 21,DPS 20,DPS 19,DPS 18,DPS 17,DPS 16,DPS 15,DPS 14,DPS 13,DPS 12,DPS 11,DPS 10
,,,,,,,,,,,,,,,,,,
A,"Agilent Technologies, Inc.","32,380.5",0.94,0.90,0.8,0.8,0.7,0.7,0.6,0.5,0.5,0.4,0.5,0.5,0.3,0.0,0.0,0.0
AA,Alcoa Corporation,"7,852.5",0.40,0.40,0.4,0.1,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.8
AAL,American Airlines Group Inc.,"8,250.5",0.00,0.00,0.0,0.0,0.1,0.4,0.4,0.4,0.4,0.4,0.2,0.0,#N/A,#N/A,#N/A,#N/A
AAM,AA Mission Acquisition Corp. Class A,459.5,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
AAMI,Acadian Asset Management Inc.,"1,434.0",0.04,0.04,0.0,0.0,0.1,0.4,0.4,0.4,0.3,0.3,0.0,#N/A,#N/A,#N/A,#N/A,#N/A
AAOI,"Applied Optoelectronics, Inc.","1,607.3",0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#N/A,#N/A,#N/A,#N/A
AAP,"Advance Auto Parts, Inc.","3,663.3",1.00,2.25,6.0,3.3,1.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
AAPI,Apple iSports Group Inc,"1,258.3",0.00,0.00,#N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAPL,Apple Inc.,"3,154,147.7",0.98,0.94,0.9,0.9,0.8,0.8,0.7,0.6,0.5,0.5,0.5,0.4,0.1,0.0,0.0,0.0
AAT,"American Assets Trust, Inc.","1,231.3",1.34,1.32,1.3,1.2,1.0,1.1,1.1,1.1,1.0,0.9,0.9,0.9,0.8,0.8,#N/A,#N/A
AB,AllianceBernstein Holding L.P.,"4,561.9",2.98,2.62,3.5,3.6,2.8,2.3,2.9,2.1,1.8,1.9,1.9,1.6,1.0,1.4,1.5,1.4
ABAT,American Battery Technology Co.,222.1,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#N/A,#N/A,#N/A,0.0,#N/A,#N/A,#N/A
ABBV,"AbbVie, Inc.","334,309.4",6.29,5.99,5.7,5.3,4.8,4.4,4.0,2.6,2.4,2.1,1.8,1.6,0.4,#N/A,#N/A,#N/A
ABCB,Ameris Bancorp,"4,640.5",0.65,0.60,0.6,0.6,0.6,0.5,0.4,0.4,0.3,0.2,0.2,0.0,0.0,0.0,0.0,0.1
ABCL,"AbCellera Biologics, Inc.","1,337.2",0.00,0.00,0.0,0.0,0.0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ABEO,"Abeona Therapeutics, Inc.",337.1,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABG,"Asbury Automotive Group, Inc.","4,520.8",0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABIT,Athena Bitcoin Global,141.1,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
